pressureTimestamp,pressure
83146924,-231.914
83171088,-231.914
83194924,-231.914
83224928,-231.914
83248924,-231.914
83272928,-241.586
83296928,-241.586
83326928,-241.586
83351088,-241.586
83374924,-241.586
83398928,-241.586
83422928,-241.586
83422928,-241.586
83453020,-231.914
83477020,-241.586
83501180,-231.914
83525020,-231.914
83549020,-241.586
83578928,-241.586
83602928,-251.258
83626928,-231.914
83651092,-231.914
83674928,-222.242
83704932,-241.586
83728932,-241.586
83752928,-231.914
83776928,-231.914
83807688,-222.242
83831092,-222.242
83854928,-241.586
83878932,-231.914
83902932,-231.914
83902932,-231.914
83933020,-241.586
83957020,-231.914
83981172,-231.914
84005156,-231.914
84029052,-241.586
84058936,-241.586
84082932,-231.914
84106932,-231.914
84131096,-231.914
84154932,-241.586
84184932,-193.227
84208932,-231.914
84232932,-212.57
84256932,-231.914
84286932,-212.57
84311096,-241.586
84334932,-222.242
84358932,-241.586
84382932,-241.586
84382932,-241.586
84413056,-251.258
84437024,-241.586
84461188,-231.914
84485028,-231.914
84509024,-231.914
84538932,-241.586
84562932,-241.586
84586932,-212.57
84611100,-183.562
84634936,-231.914
84664932,-231.914
84718936,-241.586
84742936,-241.586
84742936,-241.586
84773028,-241.586
84797028,-241.586
84821188,-212.57
84845028,-231.914
84869024,-241.586
84898936,-231.914
84922936,-193.227
84946936,-231.914
84971100,-241.586
84994936,-241.586
85024936,-231.914
85048936,-202.906
85072940,-231.914
85096936,-241.586
85126936,-212.57
85151100,-231.914
85174936,-164.234
85198940,-222.242
85222940,-173.898
85222940,-173.898
85253028,-231.914
85277028,-173.898
85301192,-173.898
85325028,-212.57
85349028,-202.906
85378936,-183.562
85402940,-183.562
85426940,-231.914
85451104,-241.586
85474940,-222.242
85505100,-241.586
85528940,-231.914
85552940,-241.586
85576940,-231.914
85606940,-212.57
85631092,-222.242
85678940,-231.914
85702940,-231.914
85702940,-231.914
85733032,-231.914
85757032,-241.586
85781208,-241.586
85805036,-241.586
85829032,-251.258
85858940,-231.914
85882940,-241.586
85906940,-231.914
85931096,-231.914
85954944,-231.914
85984944,-231.914
86008940,-231.914
86032940,-222.242
86056940,-241.586
86086944,-231.914
86111120,-222.242
86134944,-212.57
86158944,-231.914
86183232,-202.906
86183232,-202.906
86213036,-193.227
86237032,-231.914
86261196,-193.227
86285036,-231.914
86309036,-202.906
86338944,-193.227
86362944,-241.586
86386944,-212.57
86411108,-202.906
86434944,-193.227
86464944,-231.914
86488944,-193.227
86512944,-193.227
86536944,-231.914
86566948,-231.914
86591108,-222.242
86614944,-222.242
86638944,-231.914
86662948,-241.586
86662948,-241.586
86693036,-231.914
86717040,-231.914
86741200,-231.914
86765036,-241.586
86789040,-241.586
86818952,-222.242
86842948,-231.914
86866948,-231.914
86891112,-231.914
86914948,-193.227
86944948,-241.586
86968948,-251.258
86992948,-231.914
87016948,-222.242
87046948,-231.914
87071100,-222.242
87094948,-222.242
87118948,-222.242
87142948,-241.586
87142948,-241.586
87173052,-241.586
87197040,-231.914
87221204,-241.586
87245040,-231.914
87269040,-241.586
87298948,-231.914
87322948,-231.914
87346948,-231.914
87371104,-222.242
87394952,-231.914
87424952,-231.914
87448952,-231.914
87472952,-231.914
87496956,-231.914
87526956,-241.586
87551112,-241.586
87574948,-222.242
87598952,-231.914
87622952,-231.914
87622952,-231.914
87653044,-193.227
87706952,-173.898
87731116,-231.914
87755208,-231.914
87784952,-241.586
87808952,-241.586
87832960,-231.914
87856960,-222.242
87886956,-222.242
87911116,-231.914
87934952,-231.914
87958952,-222.242
87982956,-241.586
87982956,-241.586
88013044,-222.242
88037044,-222.242
88061208,-212.57
88085048,-222.242
88109048,-193.227
88138956,-231.914
88162956,-231.914
88186960,-231.914
88211148,-193.227
88234956,-241.586
88264956,-231.914
88288956,-231.914
88312956,-202.906
88336956,-183.562
88366956,-164.234
88391120,-164.234
88414956,-154.562
88438956,-164.234
88462956,-164.234
88462956,-164.234
88493048,-154.562
88517048,-164.234
88541212,-164.234
88565048,-164.234
88589048,-164.234
88618956,-241.586
88666956,-222.242
88691120,-231.914
88714960,-222.242
88744960,-212.57
88768960,-231.914
88792960,-222.242
88816960,-231.914
88846960,-231.914
88871152,-231.914
88894960,-202.906
88918960,-222.242
88942960,-231.914
88942960,-231.914
88973052,-231.914
88997052,-193.227
89021204,-193.227
89045052,-164.234
89069052,-164.234
89098960,-164.234
89122960,-164.234
89146960,-164.234
89171128,-212.57
89194960,-222.242
89224964,-241.586
89248964,-212.57
89272960,-222.242
89296960,-222.242
89326960,-202.906
89351124,-222.242
89374960,-222.242
89398964,-241.586
89422964,-202.906
89422964,-202.906
89453056,-231.914
89477052,-231.914
89501216,-183.562
89525052,-231.914
89549052,-231.914
89578972,-193.227
89603360,-222.242
89626964,-241.586
